10X Defensive Index C,2019/02/28,"520,047,030.00",2022/08/18
10X High Equity Index C,2019/02/28,"15,289,505,538.00",2022/08/18
10X Low Equity Index C,2019/02/28,"970,884,580.00",2022/08/18
10X Medium Equity Index C,2019/02/28,"2,090,410,739.00",2022/08/18
10X Money Market T,2021/08/01,"1,385,448,712.00",2022/01/06
10X MSCI World Index FF C,2021/07/02,"14,683,184.00",2022/08/18
10X SA Government Bond Index D,2022/02/23,"1,139,114,947.00",2022/08/18
10X SA ILB Index D,2022/02/23,"1,486,123,440.00",2022/08/18
10X SA Property Index D,2022/02/23,"954,916,497.00",2022/08/18
10X Top 60 SA Equity Index T,2021/11/01,"912,567,059.00",2022/08/18
1nvest ALBI Bond Index Tracker B1,2015/03/11,"4,073,555,657.00",2022/08/18
1nvest ALSI 40 A,2000/03/17,"1,629,716,289.00",2022/08/18
1nvest Capped Property Idx Trkr Fd B2,2015/06/01,"807,063,823.00",2022/08/18
1nvest Global Govt Bond Index FF B2,2018/03/14,"493,327,674.00",2022/08/18
1nvest Global REIT Idx Fdr Fd B2,2018/03/14,"228,212,400.00",2022/08/18
1nvest High Equity Balanced Pasv FoF B1,2016/03/18,"1,438,951,060.00",2022/08/18
1nvest Index R,1995/02/01,"1,209,354,372.00",2022/08/18
1nvest Inflation Lnkd Bd Idx Trkr Fd B2,2015/10/21,"740,863,293.00",2022/08/18
1nvest Low Eq Balanced Passive FoF B1,2016/03/18,"379,163,829.00",2022/08/18
1nvest MSCI World Idx Fdr Fd B2,2018/03/14,"5,738,732,488.00",2022/08/18
1nvest S&P500 Idx Fdr Fd B2,2018/03/07,"528,017,294.00",2022/08/18
1nvest S&P500 Info Tech Idx Fdr Fd B2,2018/03/07,"273,921,342.00",2022/08/18
27four Asset Select FoF B3,2012/05/03,"138,273,587.00",2022/08/18
27four Balanced FoF A1,2012/12/03,"647,152,935.00",2022/08/18
27Four Diversified Income B3,2020/12/01,"60,712,314.00",2022/08/18
27four Global Equity FF A2,2013/12/04,"61,214,342.00",2022/08/18
27four High Equity Balanced FoF B1,2019/05/13,"96,051,474.00",2022/08/18
27four Money Market A1,2016/06/01,"165,790,625.00",2022/08/18
27four Shari'ah Active Equity B3,2008/09/11,"680,680,781.00",2022/08/18
27four Shari'ah Balanced FoF B3,2011/05/09,"437,514,217.00",2022/08/18
27four Shari'ah Income B3,2017/03/20,"276,473,826.00",2022/08/18
27four Stable FoF A1,2012/12/03,"438,725,216.00",2022/08/18
36ONE BCI Equity A,2005/09/01,"5,427,491,042.00",2022/08/18
36ONE BCI Flexible Opportunity A,2005/09/05,"2,715,412,889.00",2022/08/18
36ONE BCI Global Equity FF A,2020/07/03,"161,358,037.00",2022/08/18
36ONE BCI SA Equity C,2014/09/10,"3,001,472,562.00",2022/08/18
3B BCI Cautious Managed Fund,2005/07/22,"115,701,540.00",2022/08/18
3B BCI Equity,2008/07/31,"90,029,947.00",2022/08/18
